,Unnamed: 0,#Id,age,age_68L,age_68U,age_95L,age_95U,mass,mass_68L,mass_68U,mass_95L,mass_95U,logg,logg_68L,logg_68U,logg_95L,logg_95U,rad,rad_68L,rad_68U,rad_95L,rad_95U,logrho,logrho_68L,logrho_68U,logrho_95L,logrho_95U,mbol,mbol_68L,mbol_68U,mbol_95L,mbol_95U,Kepler,Kepler_68L,Kepler_68U,Kepler_95L,Kepler_95U,g,g_68L,g_68U,g_95L,g_95U,r,r_68L,r_68U,r_95L,r_95U,i,i_68L,i_68U,i_95L,i_95U,z,z_68L,z_68U,z_95L,z_95U,DDO51_finf,DDO51_finf_68L,DDO51_finf_68U,DDO51_finf_95L,DDO51_finf_95U,M_j,J_68L,J_68U,J_95L,J_95U,M_h,H_68L,H_68U,H_95L,H_95U,M_ks,Ks_68L,Ks_68U,Ks_95L,Ks_95U,W1,W1_68L,W1_68U,W1_95L,W1_95U,W2,W2_68L,W2_68U,W2_95L,W2_95U,W3,W3_68L,W3_68U,W3_95L,W3_95U,W4,W4_68L,W4_68U,W4_95L,W4_95U,Av,Av_68L,Av_68U,Av_95L,Av_95U,mu0,mu0_68L,mu0_68U,mu0_95L,mu0_95U,dist,dist_68L,dist_68U,dist_95L,dist_95U,nfil,fils,nmx,nmx_err,dnu,dnu_err,Teff,Teff_err,Glat,Glon,feh,feh_err,alpha,m_seismo,logAge,B,BDnu,Bnumax,Nseismo,S,SDnu,Snumax,Y,YDnu,Ynumax,e_BDnu,e_Bnumax,e_SDnu,e_Snumax,e_YDnu,e_Ynumax,Z,Aks,Ks,Aj,J,Ah,H,L,logL,logT,sig_M,est_type
0,,212270583,7.9397,3.0694,17.9175,1.3045,31.9803,0.9879,0.7873,1.3014,0.6711,1.7769,2.595,2.5817,2.6082,2.5687,2.6211,8.131,7.308,9.2663,6.7722,10.7693,-2.7548,-2.8083,-2.7119,-2.8708,-2.6777,0.9567,0.6285,1.2251,0.1984,1.4138,1.0472,0.7037,1.3285,0.2406,1.5283,1.7478,1.3776,2.0513,0.8832,2.2749,0.9849,0.6409,1.2672,0.1736,1.4666,0.7389,0.4049,1.0129,-0.0411,1.2058,0.6084,0.2818,0.8757,-0.1457,1.0637,1.4645,1.0973,1.7672,0.6084,1.9914,-0.4574,-0.7707,-0.2004,-1.1712,-0.0205,-0.9926,-1.2908,-0.7486,-1.6518,-0.5772,-1.068,-1.3643,-0.8258,-1.7223,-0.6554,-1.1042,-1.3996,-0.8624,-1.7549,-0.6925,-1.0516,-1.3476,-0.8091,-1.7021,-0.6386,-1.1375,-1.4317,-0.8965,-1.7846,-0.727,-1.15,-1.444,-0.9098,-1.7942,-0.7402,0.2039,-0.0858,0.501,-0.3534,0.8034,11.3221,11.1405,11.5042,10.9639,11.6841,1838.2908,1690.8511,1999.0804,1558.7645,2171.7514,6,griJHKs,49.72,1.4009,5.485,0.2714,4845,100,42.222,321.889,-0.438,0.2,-99.9,1.1776599638,9.899804093,1,5.485,49.72,3,1,5.42,48.96,1,5.5,50.2,0.078,1.15,0.13,2.14,0.26,0.8,1.2588499766,0.0232446,10.2773446,0.0574998,10.9221998,0.038741,10.368241,1.25631914293e+28,1.5161280482,3.68529378139,0.382693780979,RGB
1,,212270773,24.1083,14.2863,34.0187,7.2119,38.2648,0.685,0.6245,0.7956,0.6025,0.9684,2.2802,2.263,2.2968,2.2457,2.3123,9.7462,9.3039,10.4733,9.0288,11.495,-3.1506,-3.1855,-3.1203,-3.2253,-3.0938,0.5911,0.4306,0.7029,0.2045,0.7755,0.6982,0.5348,0.8159,0.3003,0.8974,1.3857,1.2167,1.5213,0.9677,1.6324,0.6437,0.4797,0.7608,0.245,0.8408,0.3863,0.2242,0.4996,-0.0049,0.5736,0.2473,0.0865,0.3577,-0.1382,0.4276,1.0921,0.9248,1.2248,0.679,1.3339,-0.8211,-0.981,-0.7159,-1.1987,-0.6527,-1.3699,-1.5279,-1.2685,-1.7376,-1.2069,-1.4456,-1.6035,-1.3442,-1.8117,-1.2817,-1.4835,-1.6413,-1.3821,-1.8489,-1.3195,-1.4441,-1.6004,-1.3424,-1.808,-1.2797,-1.5223,-1.6796,-1.4212,-1.8867,-1.3586,-1.5383,-1.6951,-1.4372,-1.9021,-1.3749,0.0948,-0.0369,0.2235,-0.1704,0.3589,10.4271,10.3566,10.5188,10.3006,10.6261,1217.3735,1178.4749,1269.8441,1148.4795,1334.1893,6,griJHKs,23.91,1.0332,3.561,0.2046,4683,100,42.275,321.694,-1.02,0.2,-99.9,0.7005344169,10.3821665871,1,3.561,23.91,2,0,-99.9,-99.9,1,3.58,24.4,0.076,0.76,-99.9,-99.9,0.19,0.7,0.8436111482,0.0108072,8.9923072,0.0267336,9.6327336,0.018012,9.075212,1.57544845699e+28,1.61443227008,3.67052415778,0.187654922664,RGB
2,,212271048,12.1645,5.7191,23.7159,2.6353,34.989,0.8259,0.6873,1.0237,0.6177,1.2818,2.6449,2.6274,2.6624,2.6105,2.6795,7.0185,6.4603,7.7403,6.138,8.5817,-2.6414,-2.6802,-2.607,-2.721,-2.5781,1.1465,0.8996,1.3566,0.6395,1.484,1.2167,0.962,1.4341,0.6945,1.5669,1.8291,1.5562,2.0635,1.2708,2.2209,1.162,0.9074,1.3794,0.6396,1.5107,0.9336,0.6857,1.1452,0.425,1.2722,0.8172,0.5745,1.0242,0.319,1.1477,1.5597,1.2924,1.7898,1.0127,1.9421,-0.2111,-0.4451,-0.0122,-0.6914,0.1055,-0.7116,-0.9354,-0.5217,-1.1711,-0.409,-0.7792,-1.0014,-0.591,-1.2358,-0.4781,-0.8136,-1.0348,-0.6259,-1.268,-0.5137,-0.7859,-1.0084,-0.5967,-1.2434,-0.4834,-0.8502,-1.0708,-0.6631,-1.3038,-0.5513,-0.8671,-1.0876,-0.6798,-1.3205,-0.5678,0.362,0.122,0.6125,-0.0916,0.8559,11.5425,11.3886,11.7055,11.2694,11.8684,2034.6567,1895.4963,2193.2893,1794.258,2364.1279,6,griJHKs,56.03,2.2965,6.088,0.2954,4870,100,42.117,322.4,-1.051,0.2,-99.9,1.1190490959,10.0850942627,1,6.088,56.03,3,1,5.87,54.23,1,6.07,54.2,0.094,1.29,0.08,4.11,0.28,1.9,1.3876391662,0.041268,10.804568,0.102084,11.433484,0.06878,10.89968,9.55523523079e+27,1.39726945388,3.68752896121,0.291190796558,RGB
3,,212271638,20.822,13.3625,30.1018,8.6063,36.5975,0.7051,0.6366,0.7992,0.6036,0.9084,2.5746,2.5596,2.5902,2.5482,2.6055,7.032,6.7274,7.4242,6.5432,7.8472,-2.7123,-2.7353,-2.6902,-2.7589,-2.6713,1.1619,1.0369,1.265,0.9113,1.3331,1.2385,1.1104,1.3443,0.9807,1.4153,1.8545,1.725,1.9646,1.5961,2.0489,1.1854,1.0564,1.2913,0.9264,1.362,0.9524,0.8252,1.0566,0.6968,1.1245,0.832,0.7067,0.9349,0.5795,1.0015,1.582,1.4529,1.6906,1.3238,1.7716,-0.2005,-0.3243,-0.0994,-0.4497,-0.0363,-0.7074,-0.8288,-0.6085,-0.9525,-0.5483,-0.776,-0.8971,-0.6776,-1.0202,-0.6168,-0.8112,-0.9315,-0.7132,-1.0543,-0.6529,-0.7858,-0.9044,-0.6886,-1.0253,-0.6276,-0.8492,-0.9688,-0.7517,-1.0907,-0.6917,-0.8667,-0.9861,-0.7695,-1.1074,-0.7098,0.4847,0.3673,0.6077,0.2567,0.7296,11.5707,11.495,11.6559,11.435,11.7446,2061.2922,1990.6523,2143.7658,1936.4504,2233.114,6,griJHKs,50.31,2.2366,5.57,0.1816,4651,100,42.262,321.885,-1.471,0.2,-99.9,1.0790811027,10.3185224421,1,5.57,50.31,3,1,5.57,48.27,1,5.58,48.2,0.086,1.18,0.08,4.11,0.16,1.9,1.4093526193,0.0552558,10.8499558,0.1366854,11.5068854,0.092093,10.955393,7.97957960796e+27,1.3190080827,3.66754633951,0.156037719799,RGB
4,,212272465,5.9464,2.987,12.1195,1.5699,23.3099,1.0081,0.8228,1.2323,0.6889,1.5047,2.4129,2.3957,2.4297,2.3797,2.4456,10.1218,9.2411,11.0747,8.5524,12.1379,-3.031,-3.0659,-2.9964,-3.1018,-2.9672,0.3892,0.1491,0.6204,-0.0774,0.8244,0.4683,0.2137,0.7081,-0.018,0.9218,1.0974,0.8192,1.3582,0.5726,1.5953,0.4141,0.1586,0.6537,-0.0727,0.8666,0.1779,-0.0665,0.4108,-0.2933,0.6169,0.0555,-0.1806,0.2834,-0.4039,0.4839,0.8197,0.5485,1.0748,0.3071,1.3065,-0.982,-1.2052,-0.7632,-1.4224,-0.5734,-1.4935,-1.7025,-1.285,-1.9114,-1.1064,-1.5629,-1.7695,-1.356,-1.9776,-1.1789,-1.5983,-1.8041,-1.3922,-2.0109,-1.2157,-1.5697,-1.7767,-1.3616,-1.9849,-1.182,-1.6363,-1.8414,-1.4308,-2.0476,-1.2545,-1.6533,-1.8581,-1.4475,-2.0646,-1.2711,0.4688,0.2099,0.737,-0.0297,0.9892,13.0603,12.8985,13.2311,12.7505,13.3755,4093.1988,3799.2978,4428.0681,3548.8726,4732.6764,6,griJHKs,33.0,1.2243,3.906,0.1574,4808,100,42.463,321.149,-1.123,0.2,-99.9,1.3235853721,9.7742541198,1,3.906,33.0,3,1,3.96,32.67,1,3.95,33.7,0.072,0.83,0.01,2.04,0.14,0.9,2.7827117914,0.0534432,11.5508432,0.1322016,12.2105016,0.089072,11.655872,1.88803599159e+28,1.69303833988,3.68196445899,0.292388730973,RC
5,,212273930,1.7198,1.2289,2.4495,0.8521,3.5908,1.5599,1.3988,1.7341,1.2578,2.0142,3.0545,3.0454,3.0635,3.0374,3.072,6.0141,5.7045,6.3346,5.427,6.7994,-2.1631,-2.1875,-2.1396,-2.2154,-2.1179,1.3929,1.2495,1.5265,1.0588,1.671,1.4275,1.2765,1.5669,1.0759,1.7214,2.0338,1.8558,2.1931,1.6474,2.3816,1.3622,1.2124,1.5014,1.01,1.6538,1.157,1.0146,1.2913,0.8189,1.4357,1.06,0.923,1.1907,0.7335,1.3284,1.777,1.6045,1.9326,1.3982,2.1181,0.0495,-0.0779,0.1755,-0.2591,0.3025,-0.4175,-0.5362,-0.2971,-0.704,-0.1799,-0.4823,-0.6005,-0.3625,-0.7669,-0.2471,-0.5119,-0.629,-0.3926,-0.795,-0.2772,-0.4697,-0.5875,-0.3511,-0.7523,-0.2337,-0.5409,-0.6579,-0.422,-0.8221,-0.3075,-0.5522,-0.6685,-0.4339,-0.832,-0.3188,0.5299,0.3906,0.6746,0.2476,0.8231,10.7723,10.684,10.8526,10.5964,10.9339,1427.0856,1370.2211,1480.8779,1316.079,1537.3769,6,griJHKs,140.81,2.7527,10.505,0.4532,5075,100,42.397,321.674,-0.416,0.2,-99.9,2.1313891217,9.2354779446,1,10.505,140.81,3,1,10.85,134.87,1,11.4,143.0,0.143,2.24,0.0,15.61,0.43,1.6,0.9865376898,0.0604086,10.3504086,0.1494318,10.9712318,0.100681,10.455481,8.27413125894e+27,1.33475047706,3.70543604659,0.168295216807,RGB
6,,212275521,1.8148,1.2989,2.4337,0.9224,9.2544,1.4409,1.3005,1.6314,0.8568,1.9254,2.492,2.4723,2.5106,2.4516,2.5276,11.0183,10.6218,11.6638,8.7994,12.6146,-2.9906,-3.0173,-2.966,-3.0517,-2.916,-0.0199,-0.1712,0.0872,-0.3896,0.3719,0.0149,-0.1433,0.1264,-0.3691,0.3936,0.5441,0.3667,0.6793,0.1186,0.8882,-0.0396,-0.1978,0.0709,-0.4237,0.3399,-0.2348,-0.386,-0.1306,-0.603,0.1636,-0.3255,-0.4713,-0.2255,-0.6818,0.0867,0.3,0.1307,0.4258,-0.1094,0.6529,-1.3086,-1.4474,-1.2167,-1.646,-0.8728,-1.7546,-1.8856,-1.671,-2.0708,-1.2925,-1.8133,-1.9435,-1.7306,-2.1268,-1.3475,-1.8429,-1.9721,-1.7594,-2.1546,-1.3757,-1.8268,-1.9559,-1.7433,-2.143,-1.3678,-1.8781,-2.0066,-1.7954,-2.1888,-1.4102,-1.8951,-2.0234,-1.8132,-2.2063,-1.4285,0.3085,0.1946,0.4302,0.0786,0.5647,13.5863,13.5285,13.6572,13.4741,13.7476,5215.1116,5078.1023,5388.0708,4952.4883,5617.2769,6,griJHKs,37.7,1.6401,4.686,0.3209,5206,100,42.624,320.935,-0.891,0.2,-99.9,1.0734048809,9.2588287706,1,4.686,37.7,3,1,4.55,38.44,1,4.82,39.0,0.083,1.0,0.01,2.86,0.31,1.3,3.5488813153,0.035169,11.808169,0.086997,12.364697,0.058615,11.890315,3.07526659368e+28,1.90491084146,3.71650416377,0.154244384014,RC
7,,212277334,4.4111,2.3809,8.5986,1.403,15.4415,1.0977,0.9103,1.3213,0.7714,1.567,2.5129,2.4935,2.5322,2.4791,2.5503,9.4037,8.685,10.1921,8.0991,10.989,-2.8981,-2.9288,-2.8691,-2.9593,-2.8462,0.5065,0.3116,0.7089,0.1352,0.8974,0.5753,0.374,0.7854,0.1926,0.9827,1.1857,0.974,1.4131,0.7903,1.6346,0.5208,0.319,0.7307,0.1365,0.9272,0.2929,0.0958,0.497,-0.0834,0.6864,0.177,-0.0166,0.3764,-0.193,0.5606,0.9145,0.7061,1.1368,0.5228,1.3519,-0.8501,-1.0385,-0.6585,-1.2119,-0.4848,-1.3487,-1.5307,-1.1663,-1.7001,-1.0037,-1.4159,-1.597,-1.2349,-1.7652,-1.0741,-1.4501,-1.6303,-1.2701,-1.7985,-1.1102,-1.423,-1.6025,-1.2417,-1.7681,-1.0785,-1.4873,-1.6667,-1.3077,-1.8335,-1.1479,-1.5041,-1.6832,-1.3245,-1.849,-1.1642,0.5631,0.3436,0.7779,0.13,0.9785,12.7422,12.603,12.8786,12.4732,13.0091,3535.3992,3315.8988,3764.688,3123.4327,3997.8007,6,griJHKs,43.12,1.9673,4.5,0.1664,4727,100,42.319,322.513,-1.235,0.2,-99.9,1.6340186587,9.6445469034,1,4.5,43.12,2,0,-99.9,-99.9,1,4.53,39.8,0.09,0.99,-99.9,-99.9,0.14,1.7,2.4004753384,0.0641934,11.3904934,0.1587942,12.0508942,0.106989,11.500489,1.52256860385e+28,1.59960494107,3.6745856023,0.256043375232,RGB
8,,212277408,1.9001,1.5508,2.4436,1.0667,4.3066,1.3912,1.2792,1.495,1.0739,1.7252,2.5079,2.4936,2.5217,2.4796,2.5349,10.6585,10.2757,10.9737,9.4613,11.815,-2.9579,-2.9773,-2.9382,-3.0063,-2.9081,-0.0756,-0.1807,0.023,-0.3218,0.339,-0.0417,-0.153,0.06,-0.3031,0.392,0.4144,0.2808,0.5324,0.1201,0.9233,-0.0908,-0.2023,0.0102,-0.3531,0.3437,-0.2677,-0.3696,-0.1712,-0.5168,0.148,-0.3458,-0.4415,-0.2524,-0.5861,0.052,0.2018,0.0775,0.3119,-0.0782,0.679,-1.3015,-1.3871,-1.2121,-1.5339,-0.9337,-1.7183,-1.7916,-1.6335,-1.9435,-1.3939,-1.7717,-1.8433,-1.6875,-1.9966,-1.4569,-1.7995,-1.8694,-1.7158,-2.0239,-1.4908,-1.803,-1.8734,-1.7196,-2.0214,-1.491,-1.8368,-1.9057,-1.7537,-2.0591,-1.5317,-1.8578,-1.9261,-1.7749,-2.0783,-1.5537,0.3021,0.2052,0.4059,0.118,0.5128,12.7619,12.7054,12.8141,12.6437,12.8657,3567.5641,3476.0377,3654.4158,3378.5934,3742.2278,6,griJHKs,38.87,1.2207,4.74,0.3579,5298,100,42.382,322.261,-1.389,0.2,-99.9,1.1536938901,9.278776458,1,4.74,38.87,3,1,4.62,38.3,1,4.75,40.0,0.075,1.0,0.01,2.04,0.35,0.7,2.424997955,0.0344394,11.0246394,0.0851922,11.5455922,0.057399,11.100999,3.08657564169e+28,1.90650499544,3.72411195396,0.110526919798,RC
9,,212278312,15.9159,7.8453,28.1942,4.0201,37.2766,0.8272,0.7031,1.014,0.6474,1.2385,2.374,2.3534,2.3941,2.3328,2.4126,9.6046,8.9087,10.5718,8.509,11.5741,-3.0502,-3.0908,-3.0119,-3.1302,-2.9792,0.7297,0.4821,0.9114,0.2822,1.0189,0.8602,0.5992,1.0515,0.3866,1.1746,1.6266,1.3639,1.8364,1.1205,2.006,0.7985,0.5342,0.9903,0.3203,1.1118,0.5273,0.2705,0.7137,0.0668,0.8259,0.3764,0.1258,0.5585,-0.0732,0.6645,1.3327,1.07,1.5432,0.8278,1.7177,-0.7271,-0.9694,-0.5513,-1.1644,-0.4542,-1.3056,-1.5295,-1.1368,-1.7239,-1.0416,-1.3897,-1.613,-1.2217,-1.8073,-1.126,-1.4289,-1.6519,-1.2612,-1.8463,-1.1652,-1.3648,-1.585,-1.1974,-1.7797,-1.1027,-1.463,-1.6844,-1.2958,-1.8787,-1.1999,-1.4758,-1.6954,-1.3092,-1.8897,-1.2138,0.3551,0.1333,0.5776,-0.0837,0.8181,9.6936,9.5675,9.8602,9.4751,10.0395,868.3835,819.4055,937.6405,785.2796,1018.3632,6,griJHKs,30.66,1.6225,3.86,0.214,4559,100,42.364,322.476,-0.577,0.2,-99.9,1.0276944891,10.2018312018,1,3.86,30.66,2,0,-99.9,-99.9,1,3.8,28.5,0.076,0.82,-99.9,-99.9,0.2,1.4,0.6104917178,0.0404814,8.3443814,0.1001382,9.0666382,0.067469,8.455469,1.37427568849e+28,1.55510193461,3.6588695922,0.279440315631,RGB
